Source;Model;Total;Detected;Succeeded;Success rate
new prompt / full specs;gpt-5;10;10;7;70.0%
new prompt / name only;deepinfra moonshotai Kimi-K2.5;10;7;3;30.0%
new prompt1 / full specs;Qwen Qwen3.6-35B-A3B;10;8;5;50.0%
new prompt1 / full specs;gpt-5;10;10;8;80.0%
new prompt1 / full specs;novita moonshotai Kimi-K2.5;10;10;5;50.0%
new prompt1 / name only;Qwen Qwen3.6-35B-A3B;10;9;8;80.0%
new prompt1 / name only;novita moonshotai Kimi-K2.5;10;10;4;40.0%
oriprompt / full specs;novita moonshotai Kimi-K2.5;10;10;1;10.0%
oriprompt / name only;novita moonshotai Kimi-K2.5;10;10;2;20.0%

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_16_32;TRUE;1,50441;292,079997;957,860957;1295,657;1038,448;217,913;Yes;Yes;Yes
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_18_24;TRUE;4,293748;290,376442;970,580405;1295,023;1038,061;220,807;Yes;Yes;No
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_19_46;TRUE;11,807134;34,492559;1417,374597;1293,314;979,847;322,452;Yes;No;Yes
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_23_07;TRUE;5,56039;286,462596;991,165383;1294,735;1037,17;225,49;Yes;Yes;No
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_24_59;TRUE;1,458324;292,507458;958,034009;1295,668;1038,545;217,952;Yes;Yes;No
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_27_33;TRUE;-3,069226;159,29836;771,497331;1296,698;1008,24;175,515;Yes;No;No
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_29_09;TRUE;1,568522;292,152858;957,709014;1295,643;1038,465;217,878;Yes;Yes;Yes
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_31_08;TRUE;134,189185;99,134519;751,373152;1265,472;994,553;170,937;Yes;No;No
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_33_04;TRUE;2,501407;293,101312;959,057716;1295,431;1038,681;218,185;Yes;Yes;Yes
new/new prompt/full specs/vacuum_gripper_openai_gpt-5_20260731_12_35_08;TRUE;6,774251;291,153156;956,444379;1294,459;1038,237;217,591;Yes;Yes;Yes

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_38_03;TRUE;4,489588;290,625177;973,82303;1294,978;1038,117;221,544;Yes;Yes;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_40_48;TRUE;4,434812;290,401561;972,487401;1294,991;1038,066;221,241;Yes;Yes;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_42_39;TRUE;6,979648;290,307275;476,341734;1294,412;1038,045;108,368;Yes;No;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_45_55;TRUE;69,665352;325,554844;2430,208508;1280,151;1046,064;552,872;Yes;No;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_49_16;FALSE;;;;;;;No;No;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_12_58_54;TRUE;831,907785;3529,902743;450,569713;1106,741;1775,052;102,504;Yes;No;Yes
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_13_02_45;FALSE;;;;;;;No;No;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_13_04_02;FALSE;;;;;;;No;No;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_13_07_20;TRUE;4,30548;290,347342;970,346047;1295,02;1038,054;220,753;Yes;Yes;No
new/new prompt/name only/vacuum_gripper_huggingface_deepinfra_moonshotai_Kimi-K2.5_20260731_13_08_54;TRUE;-13,319111;293,535372;938,6201;1299,03;1038,779;213,536;Yes;No;Yes

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_48_13;TRUE;4,303481;290,347363;970,332028;1295,021;1038,054;220,75;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_49_20;TRUE;70,530767;197,59735;767,779129;1279,954;1016,953;174,669;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_51_27;TRUE;4,305483;290,345627;970,343728;1295,02;1038,054;220,753;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_53_12;TRUE;2,723344;269,059558;789,228567;1295,38;1033,211;179,549;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_54_41;FALSE;;;;;;;No;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_10_56_12;FALSE;;;;;;;No;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_00_35;TRUE;4,434826;290,400489;972,480423;1294,991;1038,066;221,239;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_01_45;TRUE;0,56982;292,509061;956,736727;1295,87;1038,546;217,657;Yes;Yes;Yes
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_06_54;TRUE;-0,233844;270,711827;817,462874;1296,053;1033,587;185,973;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260731_11_09_30;TRUE;4,307754;290,352643;970,36127;1295,02;1038,055;220,757;Yes;Yes;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_11_51_09;TRUE;740,390543;832,458628;610,474712;1127,561;1161,384;138,883;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_11_54_18;TRUE;4,30408;290,361111;970,552381;1295,021;1038,057;220,8;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_11_56_21;TRUE;4,293748;290,376442;970,580405;1295,023;1038,061;220,807;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_11_59_55;TRUE;4,421794;290,237488;969,211927;1294,994;1038,029;220,495;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_01_46;TRUE;9,68473;303,692975;972,698289;1293,796;1041,09;221,289;Yes;Yes;Yes
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_03_31;TRUE;4,905504;293,837007;962,070317;1294,884;1038,848;218,871;Yes;Yes;Yes
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_05_45;TRUE;5,399839;289,940546;984,834248;1294,771;1037,961;224,049;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_07_39;TRUE;-15,257181;479,866515;771,26061;1299,471;1081,17;175,462;Yes;No;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_11_36;TRUE;4,293955;290,47707;976,199942;1295,023;1038,084;222,085;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_openai_gpt-5_20260731_12_13_17;TRUE;2,539339;292,7662;959,314989;1295,422;1038,604;218,244;Yes;Yes;No

File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_22_52;TRUE;4,470722;290,110657;968,099813;1294,983;1038;220,242;Yes;Yes;No
new/new prompt1/full specs/vacuum_gripper_huggingface_novita_moonshotai_Kimi-K2.5_20260731_10_24_10;TRUE;0,410816;266,261035;815,435594;1295,906;1032,574;185,511;Yes;No;No
