Results Summary — Original Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;8;2;20.0%;2;;;;;;
auto / Qwen Qwen3.6-35B-A3B;10;9;6;60.0%;0;;;;;;
featherless-ai / stepfun-ai Step-3.7-Flash;10;1;1;10.0%;1;;;;;;
novita / MiniMaxAI MiniMax-M3;10;9;0;0.0%;0;;;;;;
novita / moonshotai Kimi-K2.5;10;10;2;20.0%;0;;;;;;
zai-org / zai-org GLM-4.5V;10;2;1;10.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — Original Prompt — Full Specs;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;10;4;40.0%;2;;;;;;
auto / Qwen Qwen3.6-35B-A3B;10;9;6;60.0%;0;;;;;;
deepinfra / meta-llama Llama-4-Scout-17B-16E-Instruct;10;4;0;0.0%;0;;;;;;
featherless-ai / stepfun-ai Step-3.7-Flash;10;3;2;20.0%;1;;;;;;
novita / MiniMaxAI MiniMax-M3;10;10;0;0.0%;0;;;;;;
novita / moonshotai Kimi-K2.5;10;10;1;10.0%;0;;;;;;
zai-org / zai-org GLM-4.5V;10;5;2;20.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;10;10;100.0%;1;;;;;;
auto / Qwen Qwen3.6-35B-A3B;10;4;3;30.0%;0;;;;;;
deepinfra / moonshotai Kimi-K2.5;10;7;3;30.0%;2;;;;;;
novita / MiniMaxAI MiniMax-M3;5;2;0;0.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt — Full Specs;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;10;9;90.0%;1;;;;;;
auto / Qwen Qwen3.6-35B-A3B;5;4;2;40.0%;0;;;;;;
novita / moonshotai Kimi-K2.5;10;9;7;70.0%;0;;;;;;
novita / zai-org GLM-4.5V;5;4;3;60.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt 1 — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;9;9;90.0%;1;;;;;;
auto / Qwen Qwen3.6-35B-A3B;10;9;8;80.0%;5;;;;;;
novita / MiniMaxAI MiniMax-M3;5;4;3;60.0%;1;;;;;;
novita / moonshotai Kimi-K2.5;10;10;4;40.0%;2;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt 1 — Full Specs;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
auto / google gemma-4-31B-it;10;10;6;60.0%;1;;;;;;
auto / Qwen Qwen3.6-35B-A3B;10;8;5;50.0%;1;;;;;;
novita / MiniMaxAI MiniMax-M3;5;5;2;40.0%;0;;;;;;
novita / moonshotai Kimi-K2.5;10;10;5;50.0%;0;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Detailed Results — Original Prompt — Name Only;;;;;;;;;;;
auto / google gemma-4-31B-it;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_27_01;Yes;-5,73;277,966;787,006;1297,303;1035,237;179,044;Yes;No;No;Outside ±6 px tolerance: r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_29_28;Yes;1111,888;3826,316;3507,275;1043,045;1842,486;797,904;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_32_04;No;-;-;-;-;-;-;No;No;No;No circles found
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_35_20;No;-;-;-;-;-;-;No;No;No;No circles found
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_39_51;Yes;967,92;1137,312;2385,813;1075,798;1230,738;542,772;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_43_00;Yes;4,65;289,957;974,121;1294,942;1037,965;221,612;Yes;Yes;No;
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_48_28;Yes;3,115;265,201;786,227;1295,291;1032,333;178,866;Yes;No;No;Outside ±6 px tolerance: r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_50_47;Yes;724,515;-987,383;486,592;1131,173;747,371;110,699;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_55_21;Yes;-16,557;276,734;809,382;1299,767;1034,957;184,134;Yes;No;No;Outside ±6 px tolerance: r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_59_06;Yes;5,467;286,024;989,889;1294,756;1037,07;225,2;Yes;Yes;Yes;
;;;;;;;;;;;
auto / Qwen Qwen3.6-35B-A3B;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260618_11_30_13;Yes;-6,19;273,212;789,016;1297,408;1034,156;179,501;Yes;No;No;Outside ±6 px tolerance: r_px
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260618_11_33_09;Yes;4,301;289,924;968,927;1295,021;1037,958;220,431;Yes;Yes;No;
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260618_11_41_46;Yes;4,297;289,917;968,896;1295,022;1037,956;220,423;Yes;Yes;No;
new models/vacuum_gripper/or_prompt/name_only/vacuum_gripper_huggingface_auto_Qwen_Qwen3.6-35B-A3B_20260618_11_48_22;Yes;-;-;-;-;-;-;No;No;No;No circle detected
