Results Summary — New Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
anthropic / claude-sonnet-4-5;10;9;7;70.0%;0;;;;;;
openai / gpt-5;10;9;3;30.0%;1;;;;;;
openai / gpt-5-mini;10;6;2;20.0%;1;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt — Full Specs;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
anthropic / claude-sonnet-4-5;10;8;8;80.0%;1;;;;;;
openai / gpt-5;10;10;7;70.0%;5;;;;;;
openai / gpt-5-mini;10;6;2;20.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt 1 — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
anthropic / claude-sonnet-4-5;10;3;1;10.0%;0;;;;;;
openai / gpt-5;10;9;5;50.0%;2;;;;;;
openai / gpt-5-mini;10;10;0;0.0%;0;;;;;;
;;;;;;;;;;;
Results Summary — New Prompt 1 — Full Specs;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
anthropic / claude-sonnet-4-5;10;3;0;0.0%;0;;;;;;
openai / gpt-5;10;10;8;80.0%;2;;;;;;
openai / gpt-5-mini;10;9;0;0.0%;1;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Detailed Results — New Prompt — Name Only;;;;;;;;;;;
anthropic / claude-sonnet-4-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_56_10;No;-;-;-;-;-;-;No;No;No;No circles found
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_58_02;Yes;2,546;291,72;956,845;1295,42;1038,366;217,682;Yes;Yes;No;
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_58_36;Yes;4,636;289,98;974,106;1294,945;1037,97;221,609;Yes;Yes;No;
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_09_59_07;Yes;668,437;4376,39;311,616;1143,931;1967,627;70,893;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_00_50;Yes;10,952;297,478;506,876;1293,508;1039,676;115,314;Yes;No;No;Outside ±6 px tolerance: r_px
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_02_05;Yes;5,918;289,021;979,761;1294,653;1037,752;222,895;Yes;Yes;No;
old models/vacuum_gripper/new prompt/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_02_53;Yes;4,493;290,082;971,686;1294,978;1037,994;221,058;Yes;Yes;No;
